itm_no_item|NEM MEGFELELŐ TÁRGY
itm_no_item_pl|NEM MEGFELELŐ TÁRGY
itm_tutorial_spear|lándzsa
itm_tutorial_spear_pl|lándzsa
itm_tutorial_club|bunkósbot
itm_tutorial_club_pl|bunkósbot
itm_tutorial_battle_axe|csatabárd
itm_tutorial_battle_axe_pl|csatabárd
itm_tutorial_arrows|nyíl
itm_tutorial_arrows_pl|nyíl
itm_tutorial_bolts|nyílvessző
itm_tutorial_bolts_pl|nyílvessző
itm_tutorial_short_bow|rövid íj
itm_tutorial_short_bow_pl|rövid íj
itm_tutorial_crossbow|számszeríj
itm_tutorial_crossbow_pl|számszeríj
itm_tutorial_throwing_daggers|dobótőr
itm_tutorial_throwing_daggers_pl|dobótőr
itm_tutorial_saddle_horse|hátasló
itm_tutorial_saddle_horse_pl|hátasló
itm_tutorial_shield|lovagi pajzs
itm_tutorial_shield_pl|lovagi pajzs
itm_tutorial_staff_no_attack|bot
itm_tutorial_staff_no_attack_pl|bot
itm_tutorial_staff|bot
itm_tutorial_staff_pl|bot
itm_tutorial_sword|kard
itm_tutorial_sword_pl|kard
itm_tutorial_axe|fejsze
itm_tutorial_axe_pl|fejsze
itm_tutorial_dagger|tőr
itm_tutorial_dagger_pl|tőr
itm_horse_meat|lóhús
itm_horse_meat_pl|lóhús
itm_practice_sword|gyakorlókard
itm_practice_sword_pl|gyakorlókard
itm_heavy_practice_sword|nehéz gyakorlókard
itm_heavy_practice_sword_pl|nehéz gyakorlókard
itm_practice_dagger|gyakorló dobótőr
itm_practice_dagger_pl|gyakorló dobótőr
itm_practice_axe|gyakorlófejsze
itm_practice_axe_pl|gyakorlófejsze
itm_arena_axe|fejsze
itm_arena_axe_pl|fejsze
itm_arena_sword|kard
itm_arena_sword_pl|kard
itm_arena_sword_two_handed|kétkezes kard
itm_arena_sword_two_handed_pl|kétkezes kard
itm_arena_lance|lándzsa
itm_arena_lance_pl|lándzsa
itm_practice_staff|gyakorlóbot
itm_practice_staff_pl|gyakorlóbot
itm_practice_lance|gyakorlódárda
itm_practice_lance_pl|gyakorlódárda
itm_practice_shield|gyakorlópajzs
itm_practice_shield_pl|gyakorlópajzs
itm_practice_bow|gyakorlóíj
itm_practice_bow_pl|gyakorlóíj
itm_practice_crossbow|gyakorló számszeríj
itm_practice_crossbow_pl|gyakorló számszeríj
itm_practice_javelin|gyakorlógerely
itm_practice_javelin_pl|gyakorlógerely
itm_practice_javelin_melee|közelharci gerely
itm_practice_javelin_melee_pl|közelharci gerely
itm_practice_throwing_daggers|gyakorló dobótőr
itm_practice_throwing_daggers_pl|gyakorló dobótőr
itm_practice_throwing_daggers_100_amount|gyakorló dobótőr
itm_practice_throwing_daggers_100_amount_pl|gyakorló dobótőr
